net,C,H,W,M,FH,FW,PH,PW,SH,SW,DH,DW,OH,OW,GEMM_M,GEMM_K,GEMM_N
resnet18,3,224,224,64,7,7,3,3,2,2,1,1,112,112,64,147,12544
resnet18,64,56,56,64,3,3,1,1,1,1,1,1,56,56,64,576,3136
resnet18,64,56,56,64,3,3,1,1,1,1,1,1,56,56,64,576,3136
resnet18,64,56,56,64,3,3,1,1,1,1,1,1,56,56,64,576,3136
resnet18,64,56,56,64,3,3,1,1,1,1,1,1,56,56,64,576,3136
resnet18,64,56,56,128,3,3,1,1,2,2,1,1,28,28,128,576,784
resnet18,128,28,28,128,3,3,1,1,1,1,1,1,28,28,128,1152,784
resnet18,64,56,56,128,1,1,0,0,2,2,1,1,28,28,128,64,784
resnet18,128,28,28,128,3,3,1,1,1,1,1,1,28,28,128,1152,784
resnet18,128,28,28,128,3,3,1,1,1,1,1,1,28,28,128,1152,784
resnet18,128,28,28,256,3,3,1,1,2,2,1,1,14,14,256,1152,196
resnet18,256,14,14,256,3,3,1,1,1,1,1,1,14,14,256,2304,196
resnet18,128,28,28,256,1,1,0,0,2,2,1,1,14,14,256,128,196
resnet18,256,14,14,256,3,3,1,1,1,1,1,1,14,14,256,2304,196
resnet18,256,14,14,256,3,3,1,1,1,1,1,1,14,14,256,2304,196
resnet18,256,14,14,512,3,3,1,1,2,2,1,1,7,7,512,2304,49
resnet18,512,7,7,512,3,3,1,1,1,1,1,1,7,7,512,4608,49
resnet18,256,14,14,512,1,1,0,0,2,2,1,1,7,7,512,256,49
resnet18,512,7,7,512,3,3,1,1,1,1,1,1,7,7,512,4608,49
resnet18,512,7,7,512,3,3,1,1,1,1,1,1,7,7,512,4608,49
alexnet,3,224,224,64,11,11,2,2,4,4,1,1,55,55,64,363,3025
alexnet,64,27,27,192,5,5,2,2,1,1,1,1,27,27,192,1600,729
alexnet,192,13,13,384,3,3,1,1,1,1,1,1,13,13,384,1728,169
alexnet,384,13,13,256,3,3,1,1,1,1,1,1,13,13,256,3456,169
alexnet,256,13,13,256,3,3,1,1,1,1,1,1,13,13,256,2304,169
vgg16,3,224,224,64,3,3,1,1,1,1,1,1,224,224,64,27,50176
vgg16,64,224,224,64,3,3,1,1,1,1,1,1,224,224,64,576,50176
vgg16,64,112,112,128,3,3,1,1,1,1,1,1,112,112,128,576,12544
vgg16,128,112,112,128,3,3,1,1,1,1,1,1,112,112,128,1152,12544
vgg16,128,56,56,256,3,3,1,1,1,1,1,1,56,56,256,1152,3136
vgg16,256,56,56,256,3,3,1,1,1,1,1,1,56,56,256,2304,3136
vgg16,256,56,56,256,3,3,1,1,1,1,1,1,56,56,256,2304,3136
vgg16,256,28,28,512,3,3,1,1,1,1,1,1,28,28,512,2304,784
vgg16,512,28,28,512,3,3,1,1,1,1,1,1,28,28,512,4608,784
vgg16,512,28,28,512,3,3,1,1,1,1,1,1,28,28,512,4608,784
vgg16,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
vgg16,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
vgg16,512,14,14,512,3,3,1,1,1,1,1,1,14,14,512,4608,196
squeezenet1_0,3,224,224,96,7,7,0,0,2,2,1,1,109,109,96,147,11881
squeezenet1_0,96,54,54,16,1,1,0,0,1,1,1,1,54,54,16,96,2916
squeezenet1_0,16,54,54,64,1,1,0,0,1,1,1,1,54,54,64,16,2916
squeezenet1_0,16,54,54,64,3,3,1,1,1,1,1,1,54,54,64,144,2916
squeezenet1_0,128,54,54,16,1,1,0,0,1,1,1,1,54,54,16,128,2916
squeezenet1_0,16,54,54,64,1,1,0,0,1,1,1,1,54,54,64,16,2916
squeezenet1_0,16,54,54,64,3,3,1,1,1,1,1,1,54,54,64,144,2916
squeezenet1_0,128,54,54,32,1,1,0,0,1,1,1,1,54,54,32,128,2916
squeezenet1_0,32,54,54,128,1,1,0,0,1,1,1,1,54,54,128,32,2916
squeezenet1_0,32,54,54,128,3,3,1,1,1,1,1,1,54,54,128,288,2916
squeezenet1_0,256,27,27,32,1,1,0,0,1,1,1,1,27,27,32,256,729
squeezenet1_0,32,27,27,128,1,1,0,0,1,1,1,1,27,27,128,32,729
squeezenet1_0,32,27,27,128,3,3,1,1,1,1,1,1,27,27,128,288,729
squeezenet1_0,256,27,27,48,1,1,0,0,1,1,1,1,27,27,48,256,729
squeezenet1_0,48,27,27,192,1,1,0,0,1,1,1,1,27,27,192,48,729
squeezenet1_0,48,27,27,192,3,3,1,1,1,1,1,1,27,27,192,432,729
squeezenet1_0,384,27,27,48,1,1,0,0,1,1,1,1,27,27,48,384,729
squeezenet1_0,48,27,27,192,1,1,0,0,1,1,1,1,27,27,192,48,729
squeezenet1_0,48,27,27,192,3,3,1,1,1,1,1,1,27,27,192,432,729
squeezenet1_0,384,27,27,64,1,1,0,0,1,1,1,1,27,27,64,384,729
squeezenet1_0,64,27,27,256,1,1,0,0,1,1,1,1,27,27,256,64,729
squeezenet1_0,64,27,27,256,3,3,1,1,1,1,1,1,27,27,256,576,729
squeezenet1_0,512,13,13,64,1,1,0,0,1,1,1,1,13,13,64,512,169
squeezenet1_0,64,13,13,256,1,1,0,0,1,1,1,1,13,13,256,64,169
squeezenet1_0,64,13,13,256,3,3,1,1,1,1,1,1,13,13,256,576,169
squeezenet1_0,512,13,13,1000,1,1,0,0,1,1,1,1,13,13,1000,512,169
densenet161,3,224,224,96,7,7,3,3,2,2,1,1,112,112,96,147,12544
densenet161,96,56,56,192,1,1,0,0,1,1,1,1,56,56,192,96,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,144,56,56,192,1,1,0,0,1,1,1,1,56,56,192,144,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,192,56,56,192,1,1,0,0,1,1,1,1,56,56,192,192,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,240,56,56,192,1,1,0,0,1,1,1,1,56,56,192,240,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,288,56,56,192,1,1,0,0,1,1,1,1,56,56,192,288,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,336,56,56,192,1,1,0,0,1,1,1,1,56,56,192,336,3136
densenet161,192,56,56,48,3,3,1,1,1,1,1,1,56,56,48,1728,3136
densenet161,384,56,56,192,1,1,0,0,1,1,1,1,56,56,192,384,3136
densenet161,192,28,28,192,1,1,0,0,1,1,1,1,28,28,192,192,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,240,28,28,192,1,1,0,0,1,1,1,1,28,28,192,240,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,288,28,28,192,1,1,0,0,1,1,1,1,28,28,192,288,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,336,28,28,192,1,1,0,0,1,1,1,1,28,28,192,336,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,384,28,28,192,1,1,0,0,1,1,1,1,28,28,192,384,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,432,28,28,192,1,1,0,0,1,1,1,1,28,28,192,432,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,480,28,28,192,1,1,0,0,1,1,1,1,28,28,192,480,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,528,28,28,192,1,1,0,0,1,1,1,1,28,28,192,528,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,576,28,28,192,1,1,0,0,1,1,1,1,28,28,192,576,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,624,28,28,192,1,1,0,0,1,1,1,1,28,28,192,624,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,672,28,28,192,1,1,0,0,1,1,1,1,28,28,192,672,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,720,28,28,192,1,1,0,0,1,1,1,1,28,28,192,720,784
densenet161,192,28,28,48,3,3,1,1,1,1,1,1,28,28,48,1728,784
densenet161,768,28,28,384,1,1,0,0,1,1,1,1,28,28,384,768,784
densenet161,384,14,14,192,1,1,0,0,1,1,1,1,14,14,192,384,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,432,14,14,192,1,1,0,0,1,1,1,1,14,14,192,432,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,480,14,14,192,1,1,0,0,1,1,1,1,14,14,192,480,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,528,14,14,192,1,1,0,0,1,1,1,1,14,14,192,528,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,576,14,14,192,1,1,0,0,1,1,1,1,14,14,192,576,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,624,14,14,192,1,1,0,0,1,1,1,1,14,14,192,624,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,672,14,14,192,1,1,0,0,1,1,1,1,14,14,192,672,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,720,14,14,192,1,1,0,0,1,1,1,1,14,14,192,720,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,768,14,14,192,1,1,0,0,1,1,1,1,14,14,192,768,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,816,14,14,192,1,1,0,0,1,1,1,1,14,14,192,816,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,864,14,14,192,1,1,0,0,1,1,1,1,14,14,192,864,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,912,14,14,192,1,1,0,0,1,1,1,1,14,14,192,912,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,960,14,14,192,1,1,0,0,1,1,1,1,14,14,192,960,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1008,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1008,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1056,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1056,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1104,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1104,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1152,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1152,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1200,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1200,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
densenet161,1248,14,14,192,1,1,0,0,1,1,1,1,14,14,192,1248,196
densenet161,192,14,14,48,3,3,1,1,1,1,1,1,14,14,48,1728,196
